mass [kg],skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
19.360001315003046,0.3,0.8,10.0,20.0,160.00000000000003,499.99999999999994,AA2024-T3,AA2024-T3,1674.763152784184
19.360001315003046,0.3,0.8,10.0,20.0,160.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,1674.763152784184
19.365585350428276,0.3,0.8,10.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,1282.6679030350451
19.365585350428276,0.3,0.9000000000000001,10.0,20.0,200.0,350.0,AA2024-T3,AA2024-T3,1282.6679030350451
19.4574970733535,0.3,0.9000000000000001,10.0,20.0,260.0,300.0,AA2024-T3,AA2024-T3,942.0176017284231
19.4574970733535,0.3,0.8,10.0,20.0,260.0,300.0,AA2024-T3,AA2024-T3,942.0176017284231
19.486700828540435,0.3,0.8,10.0,20.0,140.0,549.9999999999999,AA2024-T3,AA2024-T3,1969.441372319259
19.486700828540435,0.3,0.8,10.0,20.0,140.0,599.9999999999999,AA2024-T3,AA2024-T3,1969.441372319259
19.486700828540435,0.3,0.8,20.0,20.0,280.0,549.9999999999999,AA2024-T3,AA2024-T3,1325.919497793508
19.486700828540435,0.3,0.8,20.0,20.0,280.0,599.9999999999999,AA2024-T3,AA2024-T3,1325.919497793508
19.486700828540435,0.3,0.9000000000000001,10.0,20.0,140.0,599.9999999999999,AA2024-T3,AA2024-T3,1969.441372319259
